                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.9079,                 1.7053,                 1.0473,                0.47788,                0.61854,                0.52165,                0.23118,                 1.8438,                 1.5392,                 1.0454,               0.007987,               0.007987,               0.007987
                     63,                 1.9022,                 1.6991,                 1.0507,                 0.5064,                0.61716,                 0.5504,                0.26031,                 1.7321,                 1.5527,                 1.0267,               0.007954,               0.007954,               0.007954
                     64,                  1.918,                  1.732,                 1.0321,                0.54891,                0.61627,                0.57157,                0.26159,                 1.7943,                 1.4816,                   1.03,               0.007921,               0.007921,               0.007921
                     65,                 1.8789,                 1.6477,                 1.0434,                0.55779,                0.60796,                0.57672,                0.27319,                 1.7252,                   1.49,                 1.0156,               0.007888,               0.007888,               0.007888
                     66,                 1.9237,                 1.7072,                0.99082,                0.55127,                0.58978,                 0.5793,                0.26129,                 1.8394,                 1.4418,                 1.0443,               0.007855,               0.007855,               0.007855
                     67,                 1.9262,                 1.6443,                 1.0492,                0.58193,                0.62183,                0.60993,                0.29925,                 1.7052,                 1.4004,                 1.0132,               0.007822,               0.007822,               0.007822
                     68,                  1.962,                 1.6751,                0.99401,                0.57116,                0.58201,                0.57568,                0.25321,                 1.8623,                 1.4877,                 1.0679,               0.007789,               0.007789,               0.007789
                     69,                 1.9149,                 1.6835,                 1.0489,                0.61257,                0.58895,                0.62355,                0.30153,                 1.7222,                 1.4197,                 1.0201,               0.007756,               0.007756,               0.007756
                     70,                 1.8647,                 1.5843,                0.99106,                0.56842,                0.57626,                0.59983,                0.27857,                 1.7935,                 1.3861,                 1.0505,               0.007723,               0.007723,               0.007723
                     71,                 1.8475,                 1.5501,                 1.0687,                 0.6383,                0.59122,                0.63813,                0.30502,                 1.7501,                 1.3523,                 1.0233,                0.00769,                0.00769,                0.00769
                     72,                 1.8588,                 1.5637,                  1.021,                0.60899,                0.62401,                0.62271,                0.29983,                  1.736,                 1.3859,                  1.035,               0.007657,               0.007657,               0.007657
                     73,                 1.8593,                 1.5469,                0.99308,                0.62863,                0.59613,                0.64416,                0.29179,                 1.7816,                 1.3836,                 1.0212,               0.007624,               0.007624,               0.007624
                     74,                 1.9131,                 1.5865,                 1.0235,                0.63351,                0.65032,                0.63926,                0.31301,                 1.7002,                 1.3444,                 1.0179,               0.007591,               0.007591,               0.007591
                     75,                 1.7935,                 1.5813,                 1.0064,                0.62216,                0.59033,                0.62917,                0.29414,                 1.7484,                 1.4665,                 1.0154,               0.007558,               0.007558,               0.007558
